id,groups,age,healthy_eating,active_lifestyle,salary
0,A,36,5,5,2297
1,A,26,3,5,1134
2,A,61,8,1,4969
3,O,24,3,6,902
4,O,39,6,2,3574
5,O,32,5,3,2761
6,AB,25,4,6,1484
7,B,39,8,6,3809
8,A,32,5,6,2065
9,A,28,4,8,1020
10,A,30,6,9,1950
11,O,40,7,1,4387
12,O,23,3,2,1830
13,O,30,6,8,2182
14,AB,51,7,5,3460
15,B,26,3,8,662
16,A,30,3,5,1134
17,A,22,4,8,1020
18,A,27,2,6,779
19,O,32,7,6,3228
20,O,39,7,6,3228
21,O,26,1,6,1360
22,AB,40,7,5,3460
23,B,37,6,4,3110
24,A,28,5,8,1601
25,A,30,6,7,2414
26,A,62,9,6,700
27,O,37,3,5,1134
28,O,30,6,7,2414
29,O,37,8,6,3809
30,AB,28,4,7,1252
31,B,30,7,8,2764
32,A,22,3,8,662
33,A,25,4,6,1484
34,A,29,5,7,1833
35,O,27,2,4,785
36,O,39,5,5,2297
37,O,26,3,5,1134
38,AB,26,3,7,670
39,B,29,2,6,779
40,A,30,6,8,2182
41,A,32,5,3,2761
42,A,31,6,7,2414
43,O,23,4,10,556
44,O,35,6,6,2646
45,O,25,5,8,1601
46,AB,29,4,3,2179
47,B,30,4,6,1484
48,A,30,5,6,2065
49,A,29,6,9,1950
